Fight_Importance,Importance_ID
Normal Fight With 0 World Title Belts on the Line,1
Rematch With 0 World Title Belts on the Line,2
Normal Fight With 1 World Title Belts on the Line,3
Rematch With 1 World Title Belts on the Line,4
Normal Fight With 2 World Title Belts on the Line,5
Rematch With 2 World Title Belts on the Line,6
Unification With 2 World Title Belts on the Line,7
Unification With 3 World Title Belts on the Line,8
Normal Fight With 3 World Title Belts on the Line,9
Rematch With 3 World Title Belts on the Line,10